STOCK_ID,CLOSE_PRICE,PRICE_CHANGE,BASE_PRICE,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,MATCHED_VOLUME,MATCHED_AMOUNT,SELF_DEALED_VOLUME,SELF_DEALED_AMOUNT,RECORDED_DATE
SHP,33.35,0.85 (2.62 %),32.5,34.75,34.75,33.35,17500,0.6 TỶ,0,0,11/03/2024
BAF,27.65,0.70 (2.60 %),26.95,26.85,27.9,26.7,6554800,180.41 TỶ,0,0,11/03/2024
FDC,13.85,0.35 (2.59 %),13.5,13.85,13.85,13.85,400,0.01 TỶ,0,0,11/03/2024
PNJ,99.0,2.50 (2.59 %),96.5,96.8,100.9,96.6,2936600,289.65 TỶ,100000,8980000000,11/03/2024
PMG,8.9,0.21 (2.42 %),8.69,8.1,8.9,8.1,2800,0.02 TỶ,0,0,11/03/2024
ELC,22.3,0.50 (2.29 %),21.8,21.8,22.75,21.8,1480900,33.08 TỶ,0,0,11/03/2024
CAV,73.0,1.60 (2.24 %),71.4,74.4,74.4,72.0,2300,0.17 TỶ,0,0,11/03/2024
ADG,19.9,0.40 (2.05 %),19.5,19.95,19.95,19.0,2200,0.04 TỶ,0,0,11/03/2024
GVR,29.55,0.55 (1.90 %),29.0,29.0,30.35,29.0,5766000,172.13 TỶ,0,0,11/03/2024
ASM,11.3,0.20 (1.80 %),11.1,11.2,11.65,11.15,4128300,47.33 TỶ,0,0,11/03/2024
SIP,85.1,1.50 (1.79 %),83.6,83.7,86.8,83.3,545700,46.74 TỶ,0,0,11/03/2024
SVC,28.5,0.50 (1.79 %),28.0,28.5,28.5,28.5,500,0.01 TỶ,0,0,11/03/2024
DHM,9.42,0.16 (1.73 %),9.26,9.37,9.81,9.2,39100,0.37 TỶ,0,0,11/03/2024
CSM,13.3,0.20 (1.53 %),13.1,12.95,13.3,12.95,26900,0.35 TỶ,0,0,11/03/2024
DPR,34.6,0.50 (1.47 %),34.1,34.15,35.6,34.15,913600,32.03 TỶ,0,0,11/03/2024
EIB,17.95,0.25 (1.41 %),17.7,17.7,18.3,17.7,13730700,247.39 TỶ,0,0,11/03/2024
D2D,36.2,0.50 (1.40 %),35.7,35.7,37.4,35.7,122200,4.45 TỶ,0,0,11/03/2024
CTS,37.0,0.50 (1.37 %),36.5,36.4,37.5,35.8,2525200,93.06 TỶ,0,0,11/03/2024
ANV,34.95,0.45 (1.30 %),34.5,34.5,36.35,34.5,2647500,93.66 TỶ,0,0,11/03/2024
DPM,35.95,0.45 (1.27 %),35.5,35.6,36.3,35.3,4378900,157.13 TỶ,60000,2277000000,11/03/2024
LAF,17.0,0.20 (1.19 %),16.8,17.45,17.45,16.9,76700,1.31 TỶ,0,0,11/03/2024
DHC,42.7,0.50 (1.18 %),42.2,42.2,43.5,42.0,698000,29.93 TỶ,0,0,11/03/2024
